repo_name,clone_url,description,created_at,updated_at,stargazers_count,forks_count,watchers_count,open_issues_count,size,language,license,has_wiki,has_pages,topics,contributors_count,commits_count,quality_assessment
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE.git,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",2022-07-31T18:45:21Z,2025-10-19T08:28:17Z,56095,3848,56095,452,553041,TypeScript,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",False,False,"['app', 'crdt', 'editor', 'electron', 'knowledge-base', 'markdown', 'miro', 'notes', 'notion', 'notion-alternative', 'rust', 'rust-lang', 'rust-language', 'table', 'tableview', 'whiteboard', 'wiki', 'workspace']",2,2,"{'overall_score': 0.534, 'component_scores': {'popularity': 0.991, 'activity': 0.401, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.5}, 'quality_tier': 'Average'}"
lencx/ChatGPT,https://github.com/lencx/ChatGPT.git,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07T09:43:02Z,2025-10-19T08:25:49Z,54187,6180,54187,882,32499,Rust,,False,True,"['ai', 'app', 'application', 'chatgpt', 'desktop-app', 'gpt', 'gpt-3', 'linux', 'macos', 'notes-app', 'openai', 'rust', 'tauri', 'webview', 'windows']",2,2,"{'overall_score': 0.566, 'component_scores': {'popularity': 1.0, 'activity': 0.401, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.7}, 'quality_tier': 'Average'}"
pppscn/SmsForwarder,https://github.com/pppscn/SmsForwarder.git,短信转发器——监控Android手机短信、来电、APP通知，并根据指定规则转发到其他手机：钉钉群自定义机器人、钉钉企业内机器人、企业微信群机器人、飞书机器人、企业微信应用消息、邮箱、bark、webhook、Telegram机器人、Server酱、PushPlus、手机短信等。包括主动控制服务端与客户端，让你轻松远程发短信、查短信、查通话、查话簿、查电量等。（V3.0 新增）PS.这个APK主要是学习与自用，如有BUG请提ISSUE，同时欢迎大家提PR指正,2021-02-10T02:23:07Z,2025-10-19T07:41:22Z,23069,2951,23069,56,468160,Kotlin,"{'key': 'bsd-2-clause', 'name': 'BSD 2-Clause ""Simplified"" License', 'spdx_id': 'BSD-2-Clause', 'url': 'https://api.github.com/licenses/bsd-2-clause', 'node_id': 'MDc6TGljZW5zZTQ='}",True,False,"['android', 'api', 'app', 'bark', 'call', 'chatgpt', 'dingding', 'forward', 'mqtt', 'pushdear', 'pushplus', 'serverchan', 'sms', 'smtp', 'telegram', 'webhook', 'wechatapp']",2,2,"{'overall_score': 0.606, 'component_scores': {'popularity': 0.981, 'activity': 0.401, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Good'}"
CodeEditApp/CodeEdit,https://github.com/CodeEditApp/CodeEdit.git,"📝 CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",2022-03-10T21:28:14Z,2025-10-19T06:34:29Z,22290,1125,22290,188,19703,Swift,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",True,True,"['app', 'appkit', 'apple', 'code', 'code-edit', 'code-editor', 'editor', 'ide', 'ios', 'mac', 'macos', 'open-source', 'swift', 'swiftui', 'xcode']",2,2,"{'overall_score': 0.598, 'component_scores': {'popularity': 0.947, 'activity': 0.401, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
CapSoftware/Cap,https://github.com/CapSoftware/Cap.git,"Open source Loom alternative. Beautiful, shareable screen recordings.",2023-11-17T20:31:46Z,2025-10-19T08:40:59Z,13232,900,13232,212,264581,TypeScript,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",True,False,"['app', 'cap', 'coss', 'loom', 'mac', 'nextjs', 'nextjs15', 'open-source', 'oss', 'react', 'record', 'rust', 'screen-capture', 'screen-recorder', 'screenshot', 'solidjs', 'tauri', 'tauri-app', 'typescript', 'vite']",2,2,"{'overall_score': 0.551, 'component_scores': {'popularity': 0.94, 'activity': 0.402, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.7}, 'quality_tier': 'Average'}"
Shabinder/SpotiFlyer,https://github.com/Shabinder/SpotiFlyer.git,"Kotlin Multiplatform Music Downloader, Supports Spotify /   Gaana / Youtube Music / Jio Saavn / SoundCloud.",2020-07-15T20:05:01Z,2025-10-19T00:07:48Z,10945,804,10945,559,65684,Kotlin,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",True,True,"['album-downloader', 'albums', 'android', 'app', 'desktop', 'gaana', 'gaana-downloader', 'metadata', 'mp3', 'music', 'music-downloader', 'playlist-downloader', 'song-downloader', 'soundcloud', 'spotify', 'spotify-downloader', 'youtube', 'youtube-downloader', 'youtube-music']",2,2,"{'overall_score': 0.595, 'component_scores': {'popularity': 0.936, 'activity': 0.401, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
tisfeng/Easydict,https://github.com/tisfeng/Easydict.git,一个简洁优雅的词典翻译 macOS App。开箱即用，支持离线 OCR 识别，支持有道词典，🍎 苹果系统词典，🍎 苹果系统翻译，OpenAI，Gemini，DeepL，Google，Bing，腾讯，百度，阿里，小牛，彩云和火山翻译。A concise and elegant Dictionary and Translator macOS App for looking up words and translating text. ,2022-11-15T12:41:53Z,2025-10-19T07:45:50Z,10713,544,10713,117,146516,Objective-C,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",True,False,"['app', 'baidu', 'bing', 'deepl', 'dictionary', 'gemini', 'google', 'macos', 'ocr', 'openai', 'shortcuts', 'tencent', 'translate', 'translator', 'youdao']",2,2,"{'overall_score': 0.591, 'component_scores': {'popularity': 0.922, 'activity': 0.401, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
0x7c13/Notepads,https://github.com/0x7c13/Notepads.git,"A modern, lightweight text editor with a minimalist design.",2019-06-01T01:20:33Z,2025-10-18T21:28:25Z,9641,515,9641,423,40433,C#,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",True,False,"['app', 'diff-viewer', 'fluent', 'markdown', 'notepad', 'texteditor', 'uwp', 'windows']",2,2,"{'overall_score': 0.59, 'component_scores': {'popularity': 0.918, 'activity': 0.4, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
gao-sun/eul,https://github.com/gao-sun/eul.git,🖥️ macOS status monitoring app written in SwiftUI.,2020-06-26T07:10:17Z,2025-10-18T21:28:38Z,9635,358,9635,68,2216,Swift,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",True,False,"['app', 'macos', 'monitor', 'monitoring', 'status-monitoring', 'statusbar', 'swiftui']",2,2,"{'overall_score': 0.647, 'component_scores': {'popularity': 0.905, 'activity': 0.401, 'code_quality': 0.8, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Good'}"
dice2o/BingGPT,https://github.com/dice2o/BingGPT.git,"Desktop application of new Bing's AI-powered chat (Windows, macOS and Linux)",2023-02-16T00:37:19Z,2025-10-17T16:51:04Z,9104,690,9104,241,1657,JavaScript,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",False,False,"['ai', 'app', 'bing', 'binggpt', 'chatgpt', 'copilot', 'desktop-app', 'edge', 'electron', 'gpt', 'gpt-4', 'linux', 'macos', 'microsoft', 'new-bing', 'windows']",2,2,"{'overall_score': 0.622, 'component_scores': {'popularity': 0.925, 'activity': 0.4, 'code_quality': 0.8, 'community': 0.071, 'maintenance': 0.8}, 'quality_tier': 'Good'}"
